name,LG,cM
DG_1_001,1,0
DG_1_002,1,10.42634
DG_1_003,1,16.341194
DG_1_004,1,17.86337
DG_1_005,1,19.041438
DG_1_006,1,19.8182819
DG_1_007,1,21.6493969
DG_1_008,1,23.8685789
DG_1_009,1,24.3942907
DG_1_010,1,27.1286967
DG_1_011,1,29.6483227
DG_1_012,1,29.9254875
DG_1_013,1,30.9351325
DG_1_014,1,31.1294888
DG_1_015,1,32.3531478
DG_1_016,1,33.3795658
DG_1_017,1,33.9946965
DG_1_018,1,34.7190421
DG_1_019,1,34.71962074
DG_1_020,1,35.09872054
DG_1_021,1,35.49249404
DG_1_022,1,35.4930079
DG_1_023,1,35.8651547
DG_1_024,1,36.2484898
DG_1_025,1,38.0526078
DG_1_026,1,39.2790228
DG_1_027,1,41.6699368
DG_1_028,1,42.086977
DG_1_029,1,43.194608
DG_1_030,1,43.410213
DG_1_031,1,47.6895
DG_1_032,1,56.053762
DG_1_033,1,61.922933
DG_1_034,1,67.38045
DG_1_035,1,72.591131
DG_1_036,1,74.125406
DG_1_037,1,75.1012125
DG_1_038,1,75.6629334
DG_1_039,1,76.5909757
DG_1_040,1,76.7628615
DG_1_041,1,77.3354656
DG_1_042,1,77.6685134
DG_1_043,1,79.2571264
DG_1_044,1,82.9838954
DG_1_045,1,85.2352674
DG_1_046,1,86.2747034
DG_1_047,1,88.8457984
DG_1_048,1,91.7699674
DG_1_049,1,99.0992914
DG_1_050,1,104.0715224
DG_1_051,1,106.6854944
DG_1_052,1,109.2280814
DG_1_053,1,113.7111534
DG_1_054,1,119.3829534
DG_1_055,1,124.3120194
DG_1_056,1,125.6815594
DG_1_057,1,126.9274714
DG_1_058,1,127.7392872
DG_1_059,1,127.7623242
DG_1_060,1,132.1750322
DG_1_061,1,135.9903412
DG_1_062,1,138.5785162
DG_1_063,1,140.4053342
DG_1_064,1,142.1747742
DG_1_065,1,142.4794827
DG_1_066,1,142.6939887
DG_1_067,1,143.9595487
DG_1_068,1,146.1823607
DG_1_069,1,146.5698721
DG_1_070,1,147.4092174
DG_1_071,1,147.8614877
DG_1_072,1,149.1152937
DG_1_073,1,153.7781387
DG_1_074,1,157.7211197
DG_1_075,1,164.3263357
DG_1_076,1,169.1540157
DG_1_077,1,169.6332664
DG_1_078,1,170.2139174
DG_1_079,1,170.2145446
DG_1_080,1,172.6593136
DG_1_081,1,173.9681126
DG_1_082,1,173.9719335
DG_1_083,1,174.2558462
DG_1_084,1,174.2570475
DG_1_085,1,174.4231021
DG_1_086,1,174.742467
DG_1_087,1,178.965027
DG_1_088,1,181.843075
DG_1_089,1,185.339591
DG_1_090,1,186.861127
DG_1_091,1,190.389954
DG_1_092,1,191.891166
DG_1_093,1,192.8876355
DG_1_094,1,192.8884181
DG_1_095,1,193.7686006
DG_1_096,1,196.0077896
DG_1_097,1,198.2416056
DG_1_098,1,198.2420738
DG_1_099,1,199.3947678
DG_1_100,1,201.3039248
DG_1_101,1,201.7455483
DG_1_102,1,202.3393129
DG_1_103,1,203.4577779
DG_1_104,1,204.7555209
DG_1_105,1,205.5276561
DG_1_106,1,208.4778171
DG_1_107,1,212.3601351
DG_1_108,1,213.2779206
DG_1_109,1,213.4583186
DG_1_110,1,214.7989616
DG_1_111,1,215.0385671
DG_1_112,1,221.3878191
DG_1_113,1,228.5644241
DG_1_114,1,230.0901141
DG_1_115,1,230.2647834
DG_1_116,1,231.4491654
DG_1_117,1,232.0959535
DG_1_118,1,237.0664805
DG_1_119,1,243.0221005
DG_1_120,1,243.5211823
DG_1_121,1,245.1586493
DG_1_122,1,245.7125844
DG_1_123,1,246.1614808
DG_1_124,1,248.8832908
DG_1_125,1,250.8373078
DG_1_126,1,252.3821788
DG_1_127,1,254.4800608
DG_1_128,1,255.4310091
DG_1_129,1,256.5476531
DG_1_130,1,257.6792631
DG_1_131,1,258.4672
DG_1_132,1,259.2912838
DG_1_133,1,261.0806628
DG_1_134,1,263.2098838
DG_1_135,1,264.2395658
DG_1_136,1,265.2792968
DG_1_137,1,265.87945
DG_1_138,1,266.3064457
DG_1_139,1,267.7716257
DG_1_140,1,268.0537446
DG_1_141,1,269.9451136
DG_1_142,1,271.6024376
DG_1_143,1,273.6359506
DG_1_144,1,273.9551753
DG_1_145,1,275.5893143
DG_1_146,1,276.241277
DG_1_147,1,277.713633
DG_1_148,1,278.1095422
DG_1_149,1,278.4269991
DG_1_150,1,279.1325258
DG_1_151,1,279.8034411
DG_1_152,1,280.9019551
DG_1_153,1,282.1507961
DG_1_154,1,285.2314091
DG_1_155,1,286.3341611
DG_1_156,1,286.7600093
DG_1_157,1,287.5192325
DG_1_158,1,288.4611601
DG_1_159,1,289.9463541
DG_1_160,1,291.1668021
DG_1_161,1,291.4651868
DG_1_162,1,292.7631348
DG_1_163,1,294.7641348
DG_1_164,1,300.7475628
DG_1_165,1,307.5767978
DG_1_166,1,313.5947228
DG_1_167,1,313.991535
DG_1_168,1,314.7306817
DG_1_169,1,317.9635207
DG_1_170,1,320.8619967
DG_1_171,1,321.3476132
DG_1_172,1,328.7265162
DG_1_173,1,338.4753552
DG_1_174,1,343.3806302
DG_1_175,1,347.9156172
DG_1_176,1,356.6052512
DG_1_177,1,364.9147412
DG_2_001,2,0
DG_2_002,2,4.04048295
DG_2_003,2,4.98626831
DG_2_004,2,5.96664686
DG_2_005,2,7.39893707
DG_2_006,2,9.35817987
DG_2_007,2,10.40922298
DG_2_008,2,11.36931676
DG_2_009,2,11.59914445
DG_2_010,2,11.83918484
DG_2_011,2,11.86032683
DG_2_012,2,12.17923141
DG_2_013,2,14.27410004
DG_2_014,2,17.141429
DG_2_015,2,17.92171435
DG_2_016,2,18.54223755
DG_2_017,2,19.55198424
DG_2_018,2,21.30586112
DG_2_019,2,24.78802377
DG_2_020,2,27.38101232
DG_2_021,2,28.9674453
DG_2_022,2,30.52644117
DG_2_023,2,31.26943919
DG_2_024,2,32.35847413
DG_2_025,2,33.15928655
DG_2_026,2,34.56588287
DG_2_027,2,36.96707282
DG_2_028,2,38.24520141
DG_2_029,2,39.57577856
DG_2_030,2,41.0346657
DG_2_031,2,41.88232183
DG_2_032,2,42.64988356
DG_2_033,2,49.86917744
DG_2_034,2,55.49608748
DG_2_035,2,58.07920379
DG_2_036,2,61.08911388
DG_2_037,2,62.78358791
DG_2_038,2,67.98349924
DG_2_039,2,73.06596448
DG_2_040,2,74.54764003
DG_2_041,2,76.61945575
DG_2_042,2,78.40798732
DG_2_043,2,79.11344721
DG_2_044,2,80.9455769
DG_2_045,2,84.74916451
DG_2_046,2,88.97752794
DG_2_047,2,91.47049697
DG_2_048,2,94.35791983
DG_2_049,2,95.62806576
DG_2_050,2,96.62993633
DG_2_051,2,96.70294994
DG_2_052,2,98.79199816
DG_2_053,2,101.0373422
DG_2_054,2,103.811659
DG_2_055,2,109.8213907
DG_2_056,2,111.9703156
DG_2_057,2,114.3356397
DG_2_058,2,115.2686899
DG_2_059,2,115.5861607
DG_2_060,2,116.6624993
DG_2_061,2,118.0705881
DG_2_062,2,119.8772467
DG_2_063,2,120.2253089
DG_2_064,2,123.7741897
DG_2_065,2,129.6158367
DG_2_066,2,132.746774
DG_2_067,2,135.4592891
DG_2_068,2,139.1537446
DG_2_069,2,139.7773399
DG_2_070,2,140.6280272
DG_2_071,2,141.7733081
DG_2_072,2,143.1198696
DG_2_073,2,146.0100837
DG_2_074,2,151.347842
DG_2_075,2,156.6576675
DG_2_076,2,159.6619135
DG_2_077,2,160.9259666
DG_2_078,2,162.227524
DG_2_079,2,163.6571177
DG_2_080,2,164.5633779
DG_2_081,2,165.9190235
DG_2_082,2,171.9105379
DG_2_083,2,176.1742632
DG_2_084,2,177.1569227
DG_2_085,2,178.7359057
DG_2_086,2,182.2590146
DG_2_087,2,183.9543989
DG_2_088,2,184.9235194
DG_2_089,2,186.7488001
DG_2_090,2,187.9761494
DG_2_091,2,188.958902
DG_2_092,2,193.8292605
DG_2_093,2,194.1498142
DG_2_094,2,194.6123303
DG_2_095,2,196.2964756
DG_2_096,2,196.81977
DG_2_097,2,196.9865888
DG_2_098,2,197.6032542
DG_2_099,2,202.3209835
DG_2_100,2,206.1960016
DG_2_101,2,209.3722854
DG_2_102,2,210.8562776
DG_2_103,2,212.0151357
DG_2_104,2,214.3901498
DG_2_105,2,216.4613515
DG_2_106,2,218.3008719
DG_2_107,2,221.0812923
DG_2_108,2,223.5010363
DG_2_109,2,227.0375344
DG_2_110,2,227.0878676
DG_2_111,2,227.4892064
DG_2_112,2,227.8415569
DG_2_113,2,227.8655431
DG_2_114,2,228.0490565
DG_2_115,2,228.3166221
DG_2_116,2,228.5155565
DG_2_117,2,228.9998443
DG_2_118,2,229.3315484
DG_2_119,2,229.811516
DG_2_120,2,230.7433386
DG_2_121,2,230.7693242
DG_2_122,2,232.6956096
DG_2_123,2,235.1557636
DG_2_124,2,235.267044
DG_2_125,2,236.4606106
DG_2_126,2,236.5034261
DG_2_127,2,236.5238361
DG_2_128,2,236.6912694
DG_2_129,2,236.7107265
DG_2_130,2,237.2282672
DG_2_131,2,240.2319582
DG_2_132,2,243.826564
DG_2_133,2,245.8779403
DG_2_134,2,246.7901527
DG_2_135,2,247.7159385
DG_2_136,2,248.1554317
DG_2_137,2,251.1764303
DG_2_138,2,257.3272609
DG_2_139,2,260.1573941
DG_2_140,2,264.1116187
DG_2_141,2,269.8468972
DG_2_142,2,269.9066004
DG_2_143,2,270.381717
DG_2_144,2,271.130882
DG_2_145,2,273.6973213
DG_2_146,2,274.4005451
DG_2_147,2,275.3542982
DG_2_148,2,276.1610191
DG_2_149,2,276.5739142
DG_2_150,2,277.458392
DG_2_151,2,279.1174543
DG_2_152,2,279.4842313
DG_2_153,2,281.6330961
DG_2_154,2,283.9907587
DG_2_155,2,285.0868139
DG_2_156,2,285.1209158
DG_2_157,2,285.7361057
DG_2_158,2,287.3692772
DG_2_159,2,287.7718547
DG_2_160,2,288.2595667
DG_2_161,2,289.9607184
DG_2_162,2,291.5573004
DG_2_163,2,296.2075182
DG_3_001,3,0
