LG,TrR_v5_scaff_name,Length
1,CM019101.1,"95,903,191"
2,CM019103.1,"54,415,314"
3,CM019105.1,"76,831,320"
4,CM019107.1,"84,641,331"
5,CM019109.1,"48,835,629"
6,CM019111.1,"39,895,986"
7,CM019113.1,"53,129,252"
8,CM019115.1,"63,281,793"
9,CM019102.1,"62,546,397"
10,CM019104.1,"40,013,283"
11,CM019106.1,"65,212,296"
12,CM019108.1,"51,265,060"
13,CM019110.1,"43,106,921"
14,CM019112.1,"32,268,534"
15,CM019114.1,"34,737,199"
16,CM019116.1,"46,487,066"
